trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.95, 'e': 0.11598222130000556}",25,13,21.08718094248143,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.95, 'e': 0.11018311023500528}",30,9,-37.91626851164872,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 1}",1
45,False,"{'a': 0.95, 'e': 0.10467395472325501}",20,9,17.80084380959559,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.95, 'e': 0.09944025698709225}",20,0,-20.064147733843328,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
47,False,"{'a': 0.95, 'e': 0.09446824413773763}",25,5,21.547929156243427,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.95, 'e': 0.08974483193085075}",20,5,-26.91761665707939,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
49,False,"{'a': 0.95, 'e': 0.0852575903343082}",20,4,30.456540966360436,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.95, 'e': 0.0809947108175928}",20,0,-18.408400778344287,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
51,False,"{'a': 0.95, 'e': 0.07694497527671315}",20,0,26.15561450878443,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.95, 'e': 0.07309772651287749}",20,1,13.317963706542676,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.95, 'e': 0.06944284018723361}",30,14,28.483109219669018,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.95, 'e': 0.06597069817787193}",20,6,5.069623571102236,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.95, 'e': 0.06267216326897833}",20,11,17.459500504762435,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.95, 'e': 0.05953855510552941}",20,3,16.17503097594988,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.95, 'e': 0.056561627350252934}",20,11,7.551701646265778,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.95, 'e': 0.053733545982740286}",30,18,18.160544455594565,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.95, 'e': 0.051046868683603266}",20,13,2.758074522133816,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.95, 'e': 0.048494525249423104}",25,8,23.845616675271767,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.95, 'e': 0.046069798986951946}",20,3,3.709105586210796,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
62,False,"{'a': 0.95, 'e': 0.043766309037604346}",20,7,16.71016207997181,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.95, 'e': 0.04157799358572413}",30,12,36.4336043424642,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.95, 'e': 0.03949909390643792}",20,14,12.44456844672785,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.95, 'e': 0.03752413921111602}",20,7,12.608634545303964,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
